waveform	Ch0		Gen	
t0	3/17/2021  13:06:45.102783		3/17/2021  13:06:45.102785	
delta t	5.000000E-6		5.000000E-6	

time[0]	Ch0	time[1]	Gen
3/17/2021  13:06:45.102783	-6.534083E-2	3/17/2021  13:06:45.102785	-1.830218E-3
3/17/2021  13:06:45.102788	-1.441591E-1	3/17/2021  13:06:45.102790	-2.807304E-3
3/17/2021  13:06:45.102793	-2.220003E-1	3/17/2021  13:06:45.102795	-3.133000E-3
3/17/2021  13:06:45.102798	-3.004929E-1	3/17/2021  13:06:45.102800	-2.155913E-3
3/17/2021  13:06:45.102803	-3.783341E-1	3/17/2021  13:06:45.102805	-2.481609E-3
3/17/2021  13:06:45.102808	-4.555240E-1	3/17/2021  13:06:45.102810	-3.133000E-3
3/17/2021  13:06:45.102813	-5.323881E-1	3/17/2021  13:06:45.102815	-2.155913E-3
3/17/2021  13:06:45.102818	-6.082751E-1	3/17/2021  13:06:45.102820	-3.458695E-3
3/17/2021  13:06:45.102823	-6.838365E-1	3/17/2021  13:06:45.102825	-2.481609E-3
3/17/2021  13:06:45.102828	-7.603749E-1	3/17/2021  13:06:45.102830	-2.807304E-3
3/17/2021  13:06:45.102833	-8.346334E-1	3/17/2021  13:06:45.102835	-3.133000E-3
3/17/2021  13:06:45.102838	-9.079149E-1	3/17/2021  13:06:45.102840	-2.155913E-3
3/17/2021  13:06:45.102843	-9.795679E-1	3/17/2021  13:06:45.102845	-1.830218E-3
3/17/2021  13:06:45.102848	-1.052198E+0	3/17/2021  13:06:45.102850	-2.155913E-3
3/17/2021  13:06:45.102853	-1.122874E+0	3/17/2021  13:06:45.102855	-1.830218E-3
3/17/2021  13:06:45.102858	-1.192573E+0	3/17/2021  13:06:45.102860	-1.830218E-3
3/17/2021  13:06:45.102863	-1.260317E+0	3/17/2021  13:06:45.102865	-2.807304E-3
3/17/2021  13:06:45.102868	-1.328713E+0	3/17/2021  13:06:45.102870	-2.807304E-3
3/17/2021  13:06:45.102873	-1.394178E+0	3/17/2021  13:06:45.102875	-2.807304E-3
3/17/2021  13:06:45.102878	-1.458666E+0	3/17/2021  13:06:45.102880	-2.155913E-3
3/17/2021  13:06:45.102883	-1.521199E+0	3/17/2021  13:06:45.102885	-1.830218E-3
3/17/2021  13:06:45.102888	-1.583733E+0	3/17/2021  13:06:45.102890	-2.155913E-3
3/17/2021  13:06:45.102893	-1.643987E+0	3/17/2021  13:06:45.102895	-3.133000E-3
3/17/2021  13:06:45.102898	-1.701309E+0	3/17/2021  13:06:45.102900	-2.155913E-3
3/17/2021  13:06:45.102903	-1.757980E+0	3/17/2021  13:06:45.102905	-2.807304E-3
3/17/2021  13:06:45.102908	-1.813023E+0	3/17/2021  13:06:45.102910	-2.807304E-3
3/17/2021  13:06:45.102913	-1.866437E+0	3/17/2021  13:06:45.102915	-2.481609E-3
3/17/2021  13:06:45.102918	-1.917896E+0	3/17/2021  13:06:45.102920	-3.133000E-3
3/17/2021  13:06:45.102923	-1.967402E+0	3/17/2021  13:06:45.102925	-3.133000E-3
3/17/2021  13:06:45.102928	-2.014954E+0	3/17/2021  13:06:45.102930	-2.155913E-3
3/17/2021  13:06:45.102933	-2.060225E+0	3/17/2021  13:06:45.102935	-3.133000E-3
3/17/2021  13:06:45.102938	-2.104520E+0	3/17/2021  13:06:45.102940	-2.807304E-3
3/17/2021  13:06:45.102943	-2.145558E+0	3/17/2021  13:06:45.102945	-2.155913E-3
3/17/2021  13:06:45.102948	-2.184315E+0	3/17/2021  13:06:45.102950	-3.458695E-3
3/17/2021  13:06:45.102953	-2.221445E+0	3/17/2021  13:06:45.102955	-2.481609E-3
3/17/2021  13:06:45.102958	-2.256294E+0	3/17/2021  13:06:45.102960	-1.830218E-3
3/17/2021  13:06:45.102963	-2.289841E+0	3/17/2021  13:06:45.102965	-3.133000E-3
3/17/2021  13:06:45.102968	-2.320130E+0	3/17/2021  13:06:45.102970	-1.830218E-3
3/17/2021  13:06:45.102973	-2.348140E+0	3/17/2021  13:06:45.102975	-2.481609E-3
3/17/2021  13:06:45.102978	-2.374521E+0	3/17/2021  13:06:45.102980	-3.458695E-3
3/17/2021  13:06:45.102983	-2.397320E+0	3/17/2021  13:06:45.102985	-1.178827E-3
3/17/2021  13:06:45.102988	-2.418816E+0	3/17/2021  13:06:45.102990	-2.481609E-3
3/17/2021  13:06:45.102993	-2.436729E+0	3/17/2021  13:06:45.102995	-2.807304E-3
3/17/2021  13:06:45.102998	-2.453665E+0	3/17/2021  13:06:45.103000	-2.155913E-3
3/17/2021  13:06:45.103003	-2.467345E+0	3/17/2021  13:06:45.103005	-3.133000E-3
3/17/2021  13:06:45.103008	-2.479395E+0	3/17/2021  13:06:45.103010	-3.133000E-3
3/17/2021  13:06:45.103013	-2.488515E+0	3/17/2021  13:06:45.103015	-2.481609E-3
3/17/2021  13:06:45.103018	-2.494052E+0	3/17/2021  13:06:45.103020	-3.458695E-3
3/17/2021  13:06:45.103023	-2.498937E+0	3/17/2021  13:06:45.103025	-2.481609E-3
3/17/2021  13:06:45.103028	-2.500566E+0	3/17/2021  13:06:45.103030	-2.481609E-3
3/17/2021  13:06:45.103033	-2.499914E+0	3/17/2021  13:06:45.103035	-3.458695E-3
3/17/2021  13:06:45.103038	-2.496657E+0	3/17/2021  13:06:45.103040	-1.830218E-3
3/17/2021  13:06:45.103043	-2.490795E+0	3/17/2021  13:06:45.103045	-2.155913E-3
3/17/2021  13:06:45.103048	-2.481350E+0	3/17/2021  13:06:45.103050	-3.133000E-3
3/17/2021  13:06:45.103053	-2.471904E+0	3/17/2021  13:06:45.103055	-2.481609E-3
3/17/2021  13:06:45.103058	-2.458877E+0	3/17/2021  13:06:45.103060	-2.155913E-3
3/17/2021  13:06:45.103063	-2.443243E+0	3/17/2021  13:06:45.103065	-2.481609E-3
3/17/2021  13:06:45.103068	-2.425981E+0	3/17/2021  13:06:45.103070	-2.155913E-3
3/17/2021  13:06:45.103073	-2.403834E+0	3/17/2021  13:06:45.103075	-3.133000E-3
3/17/2021  13:06:45.103078	-2.382012E+0	3/17/2021  13:06:45.103080	-3.133000E-3
3/17/2021  13:06:45.103083	-2.356934E+0	3/17/2021  13:06:45.103085	-2.481609E-3
3/17/2021  13:06:45.103088	-2.329901E+0	3/17/2021  13:06:45.103090	-2.155913E-3
3/17/2021  13:06:45.103093	-2.298960E+0	3/17/2021  13:06:45.103095	-2.807304E-3
3/17/2021  13:06:45.103098	-2.267368E+0	3/17/2021  13:06:45.103100	-2.155913E-3
3/17/2021  13:06:45.103103	-2.232844E+0	3/17/2021  13:06:45.103105	-2.481609E-3
3/17/2021  13:06:45.103108	-2.196692E+0	3/17/2021  13:06:45.103110	-1.830218E-3
